model_name,test_accuracy,test_precision,test_recall,test_f1
dense5_dense5_dense5,0.7647058823529411,0.6875,0.7857142857142857,0.7333333333333334
dense5_dense5_dense10,0.7058823529411765,0.6,0.8571428571428571,0.7058823529411764
dense5_dense5_dense15,0.7352941176470589,0.6190476190476191,0.9285714285714286,0.742857142857143
dense5_dense5_dense20,0.6470588235294118,0.55,0.7857142857142857,0.6470588235294117
dense5_dense10_dense5,0.7647058823529411,0.6875,0.7857142857142857,0.7333333333333334
dense5_dense10_dense10,0.5588235294117647,0.47058823529411764,0.5714285714285714,0.5161290322580646
dense5_dense10_dense15,0.7352941176470589,0.631578947368421,0.8571428571428571,0.7272727272727273
dense5_dense10_dense20,0.6470588235294118,0.5416666666666666,0.9285714285714286,0.6842105263157894
dense5_dense15_dense5,0.6764705882352942,0.5789473684210527,0.7857142857142857,0.6666666666666667
dense5_dense15_dense10,0.5882352941176471,0.5,0.7857142857142857,0.6111111111111112
dense5_dense15_dense15,0.7058823529411765,0.6111111111111112,0.7857142857142857,0.6875000000000001
dense5_dense15_dense20,0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75
dense5_dense20_dense5,0.7058823529411765,0.6,0.8571428571428571,0.7058823529411764
dense5_dense20_dense10,0.6470588235294118,0.5416666666666666,0.9285714285714286,0.6842105263157894
dense5_dense20_dense15,0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75
dense5_dense20_dense20,0.6764705882352942,0.6153846153846154,0.5714285714285714,0.5925925925925927
dense10_dense5_dense5,0.7058823529411765,0.7,0.5,0.5833333333333334
dense10_dense5_dense10,0.6470588235294118,0.5555555555555556,0.7142857142857143,0.6250000000000001
dense10_dense5_dense15,0.6470588235294118,0.5555555555555556,0.7142857142857143,0.6250000000000001
dense10_dense5_dense20,0.6764705882352942,0.5789473684210527,0.7857142857142857,0.6666666666666667
dense10_dense10_dense5,0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75
dense10_dense10_dense10,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.6153846153846153
dense10_dense10_dense15,0.7352941176470589,0.6470588235294118,0.7857142857142857,0.7096774193548386
dense10_dense10_dense20,0.7647058823529411,0.75,0.6428571428571429,0.6923076923076924
dense10_dense15_dense5,0.7058823529411765,0.5909090909090909,0.9285714285714286,0.7222222222222223
dense10_dense15_dense10,0.7352941176470589,0.6666666666666666,0.7142857142857143,0.689655172413793
dense10_dense15_dense15,0.5882352941176471,0.5,0.7857142857142857,0.6111111111111112
